순번,관할관청,운행업체,노선번호,노선ID,기점,기점_STATION_ID,종점,종점_STATION_ID,주중배차간격,주말배차간격,상행첫차,상행막차,하행첫차,하행막차
131, 고양시,고양-백마운수,038,241295703,둥지마을.베송쥬쥬,219001082,화정역3호선,218001046,13분~18분,18분~25분,5:30,23:00,6:10,23:55
132, 고양시,고양-백마운수,050,241295704,필리핀참전비,218000826,일산동구청(중),219000356,60분,120분,6:00,19:50,7:00,21:00
133, 고양시,고양-백마운수,010,241295707,약산마을,219000303,빛마루.이비에스,219001075,15분~20분,20분~25분,5:30,22:50,6:10,23:50
134, 고양시,고양-백마운수,039,241295708,위시티1단지후문.양일초교,219001031,현대백화점,219000625,12분~15분,15분~20분,5:30,23:00,6:10,23:50
135, 고양시,고양-대림교통,065,241298003,서정마을2단지,218001072,화정역3호선,218001046,10분~12분,15분,5:17,23:20,5:40,0:00
136, 고양시,고양-대화교통,063,241299001,대화역회차(경유),277104412,장월,219000799,51분~60분,,6:00,23:50,,
137, 고양시,고양-대화교통,057,241299002,가좌마을.킴스.벽산A516동,219000565,일산동구청(중),219000356,5분~10분,8분~15분,5:10,23:50,5:35,0:18
138, 고양시,고양-대화교통,057,241299002,가좌마을.킴스.벽산A516동,219000565,일산동구청(중),219000356,5분~10분,8분~15분,5:25,22:55,5:50,23:20
139, 고양시,고양-대화교통,062,241299003,더샵그라비스타.이마트킨텍스점,219000913,송포초교,219000434,30분,18분~24분,5:30,22:45,6:10,23:25
140, 고양시,고양-대화교통,056(도촌),241299704,도촌,219000860,백신초교,219000165,24분~30분,32분~35분,5:12,22:18,6:00,23:06
141, 고양시,고양-대화교통,056(도촌),241299704,도촌,219000860,백신초교,219000165,24분~30분,32분~35분,5:12,22:20,5:57,23:09
142, 고양시,고양-대화교통,056(멱절),241299705,멱절,219001089,백신초교,219000165,24분~30분,32분~38분,5:22,22:30,6:08,23:16
143, 고양시,고양-대화교통,056(멱절),241299705,멱절,219001089,백신초교,219000165,24분~30분,32분~38분,5:22,22:32,6:09,23:19
144, 고양시,고양-대화교통,056(서촌),241299706,서촌,219000828,백신초교,219000165,24분~30분,32분~38분,5:30,22:40,6:16,23:26
145, 고양시,고양-대화교통,056(서촌),241299706,서촌,219000828,백신초교,219000165,24분~30분,32분~38분,5:38,22:43,6:21,23:29
146, 고양시,고양-대화교통,061,241299708,GS자이아파트후문,219000951,일산동구청(중),219000356,15분~18분,15분~20분,5:30,23:30,5:55,23:55
147, 고양시,고양-대화교통,061,241299708,GS자이아파트후문,219000951,일산동구청(중),219000356,15분~18분,15분~20분,5:30,23:40,5:55,0:05
148, 고양시,고양-동일운수,018,241304002,원당역,218001083,산장아파트,218000906,6분~10분,7분~10분,5:45,23:12,6:00,23:56
149, 고양시,고양-동일운수,018,241304002,원당역,218001083,산장아파트,218000906,6분~10분,7분~10분,5:52,23:10,6:05,23:40
150, 고양시,고양-동일운수,012,241304005,원당역,218001083,관산주공아파트,218001049,40분~60분,,6:50,21:55,6:30,21:35
151, 고양시,고양-동일운수,016,241304006,박재궁,218000862,화정역3호선,218001046,20분~40분,35분~40분,7:00,21:15,7:40,22:00
152, 고양시,고양-동일운수,016,241304006,박재궁,218000862,화정역3호선,218001046,20분~40분,35분~40분,7:00,21:20,7:35,22:00
153, 고양시,고양-동일운수,013,241304707,원당역,218001083,원신4통,218000886,40분,80분,6:30,22:20,6:30,23:00
154, 고양시,고양-동일운수,013,241304707,원당역,218001083,원신4통,218000886,40분,80분,6:30,23:00,7:10,22:20
155, 고양시,고양-주원교통,076,241306702,원신동행정복지센터(마을),218000856,세원마을,218000982,30분~40분,,6:10,22:40,6:10,22:40
156, 고양시,고양-주원교통,093,241306703,신원마을2단지후문,218001210,신원마을2단지후문,218001210,12분~15분,,5:32,23:47,5:32,23:47
157, 고양시,고양-주원교통,094,241306704,삼송역6번출구,218000627,오금동종점,218001164,30분~40분,,6:10,23:00,,
158, 고양시,고양-자안운수,011,241308701,나루터,218000033,화정역3호선,218001046,10분~20분,10분~20분,6:30,23:20,6:00,23:45
159, 고양시,고양-신일산교통,066,241309001,차고지,219000829,국립암센터,219000110,6분~8분,8분~10분,5:30,23:00,6:10,23:50
160, 고양시,고양-신일산운수,068,241309702,청궁오리집,219000814,일산동구청.퀸타운호텔,219000956,28분~30분,40분~60분,6:00,21:00,6:15,21:20
161, 고양시,고양-신일산운수,069,241309703,SK주유소,219000960,능곡역,218000520,30분~40분,30분~40분,6:00,21:00,6:13,21:13
162, 고양시,고양-신일산운수,090,241310001,차고지,219000829,하늘마을3단지,219000597,7분~10분,10분~11분,5:20,23:00,5:41,23:35
163, 고양시,고양-신일산운수,091,241310002,기점대기(경유),277103897,일산에듀포레푸르지오후문,219001147,9분~12분,11분~15분,5:30,23:00,5:30,23:00
164, 고양시,고양-신일산운수,092,241310003,일산에듀포레푸르지오후문,219001147,탄현역2번출구,219000772,25분~30분,25분~30분,6:00,21:00,6:10,21:10
165, 고양시,고양-신일산운수,095,241310004,고양종합운동장.일산서구청,219000450,강선마을(중),219000192,20분~30분,40분~50분,6:00,22:30,6:15,22:15
166, 고양시,고양-신일산운수,095,241310004,고양종합운동장.일산서구청,219000450,강선마을(중),219000192,20분~30분,40분~50분,6:00,22:30,6:15,22:45
167, 고양시,고양-보람운수,032,241312001,화정역3호선,218000974,무원고교,218000086,10분~20분,15분~20분,5:30,23:40,5:30,23:40
168, 고양시,고양-보람운수,032,241312001,화정역3호선,218000974,무원고교,218000086,10분~20분,15분~20분,5:30,23:45,5:30,23:40
169, 고양시,고양-보람운수,035,241312008,행신역,218000463,원당역,218000282,30분,30분,5:50,21:50,6:25,22:25
170, 고양시,고양-보람운수,035,241312008,행신역,218000463,원당역,218000282,30분,30분,5:50,22:50,5:55,22:55
171, 고양시,고양-보람운수,030,241312013,강고산,218001026,화정역3번출구,218001359,40분,60분,6:35,21:15,6:35,21:20
172, 고양시,고양-보람운수,030,241312013,강고산,218001026,화정역3번출구,218001359,40분,60분,7:20,20:35,7:55,20:40
173, 고양시,고양-보람운수,022,241312014,마을회관,218001003,행신초등학교,218000089,40분,45분,6:30,20:20,6:30,20:20
174, 고양시,고양-보람운수,022,241312014,마을회관,218001003,행신초등학교,218000089,40분,45분,6:30,21:00,6:30,20:55
175, 고양시,고양-보람운수,023,241312015,서정마을6.9단지,218001201,화정역3호선,218000974,15분~20분,15분~20분,5:30,23:20,5:50,23:45
176, 고양시,고양-보람운수,023,241312015,서정마을6.9단지,218001201,화정역3호선,218000974,15분~20분,15분~20분,5:50,23:20,6:10,23:45
177, 고양시,고양-보람운수,024A,241312016,행신역,218000463,원흥역8번출구.방송통신대앞,218000698,13분~18분,13분~15분,5:15,23:40,5:15,23:40
178, 고양시,고양-보람운수,024A,241312016,행신역,218000463,원흥역8번출구.방송통신대앞,218000698,13분~18분,13분~15분,5:30,23:25,5:40,23:25
179, 고양시,고양-보람운수,024B,241312017,행신역,218000463,원흥역8번출구.방송통신대앞,218000698,20분,20분,5:50,23:20,5:30,23:25
180, 고양시,고양-보람운수,024B,241312017,행신역,218000463,원흥역8번출구.방송통신대앞,218000698,20분,20분,6:10,23:20,5:50,23:20
181, 고양시,고양-화정교통,027,241313001,화정역4번출구,218001149,2단지관리사무실앞,218000743,7분,,5:20,0:00,,
182, 고양시,고양-화정교통,028,241313002,화정역4번출구,218001149,달빛마을1단지분수대앞,218000742,7분,,5:20,23:35,,
183, 고양시,고양-화정교통,029A,241313003,명지병원,218000992,화정역3호선,218001046,20분,,6:30,22:50,,
184, 고양시,고양-화정교통,029B,241313004,원당역,218000095,능곡역,218000520,20분~30분,,5:30,23:30,,
185, 고양시,고양-화정교통,015,241313005,성사중학교,218001253,신원당600단지,218000858,,,00:00,,,
186, 고양시,고양-보은교통,021,241314001,화정역3호선,218000974,행신역,218000463,10분,15분,5:00,23:37,6:18,00:05
187, 고양시,고양-보은교통,020,241314002,화정역3호선,218000974,영흥빌라,218001006,10분,10분,5:00,23:23,5:20,00:05
188, 고양시,고양-남정여객,072,241325001,능곡역.능곡시장,218000193,산황동,219001019,25분~50분,,6:30,22:40,,
189, 고양시,고양-남정여객,071,241325002,회차(경유),277104417,가좌동.구종점,219000435,30분~40분,40분,6:00,21:55,6:50,22:45
190, 고양시,고양-남정여객,071,241325002,회차(경유),277104417,가좌동.구종점,219000435,30분~40분,40분,6:00,22:30,6:20,22:45
191, 고양시,,073,241325003,대곡역,218001236,백석역.고양종합터미널,219000446,60분,60분,7:15,22:00,7:15,21:30
192, 고양시,,073,241325003,대곡역,218001236,백석역.고양종합터미널,219000446,60분,60분,7:15,22:00,7:15,22:20
193, 고양시,고양-남정여객,074,241325004,하이파크시티1단지,219000671,주엽역(중),219000189,20분~30분,20분~30분,6:00,22:45,6:25,23:10
194, 고양시,고양-남정여객,074,241325004,하이파크시티1단지,219000671,주엽역(중),219000189,20분~30분,20분~30분,6:05,22:35,6:30,23:00
195, 고양시,고양-남정여객,079,241325005,회차(경유),277104417,두신마을마을회관,219001115,90분,90분,6:00,22:00,6:40,22:40
196, 고양시,고양-부광운수,070,241326001,청원네이쳐빌,219000817,마두역(중),219000383,15분,20분,6:00,23:30,6:40,00:00
197, 고양시,고양-부광운수,078,241326003,고봉초교.중산고교,219000336,백석역6번출구,219000015,10분,13분,6:00,23:30,6:40,00:00
198, 고양시,고양-대덕운수,080,241327001,위시티1단지후문.양일초교,219001031,빛마루.이비에스,219001075,9분,10분,5:30,23:26,,0:00
199, 고양시,고양-대덕운수,082A,241327002,풍동고.다솜초교.풍동도서관,219001040,원마운트,219000998,9분,10분,5:30,23:24,,0:00
200, 고양시,고양-대덕운수,081,241327003,식사동차고지(경유),277102390,풍산역,219001069,9분,10분,5:30,23:47,,0:00
201, 고양시,고양-대덕운수,089,241327005,동문굿모닝힐1차오피스텔,219001012,더샵그라비스타.이마트킨텍스점,219000913,9분,10분,5:30,23:26,,0:00
202, 고양시,고양-대덕운수,082B,241327007,풍동고.다솜초교.풍동도서관,219001171,원마운트,219000998,9분,10분,5:30,23:24,,0:00
203, 고양시,고양-여산교통,054,241328001,고양동시장,218000050,필리핀참전비,218000825,25분~30분,30분,5:50,23:20,5:50,23:20
204, 고양시,고양-여산교통,054,241328001,고양동시장,218000050,필리핀참전비,218000825,25분~30분,30분,6:40,21:40,6:40,21:40
